plate,row_letter,col_number,rep,day,inoc,salt,temp,well
P16,H,12,R3,D1,fucus,16%,15C,H12
P17,A,1,R1,D0,ica,inoculum,NA,A1
P17,A,2,R1,D0,nahant,inoculum,NA,A2
P17,A,3,R1,D0,charles,inoculum,NA,A3
P17,A,4,R1,D0,fucus,inoculum,NA,A4
P17,A,5,R2,D0,ica,inoculum,NA,A5
P17,A,6,R2,D0,nahant,inoculum,NA,A6
P17,A,7,R2,D0,charles,inoculum,NA,A7
P17,A,8,R2,D0,fucus,inoculum,NA,A8
P17,B,1,R1,D7,ica,46%,15C,B1
P17,B,2,R2,D7,ica,46%,15C,B2
P17,B,3,R3,D7,ica,46%,15C,B3
P17,B,4,R1,D7,nahant,46%,15C,B4
P17,B,5,R2,D7,nahant,46%,15C,B5
P17,B,6,R3,D7,nahant,46%,15C,B6
P17,B,7,R1,D7,charles,46%,15C,B7
P17,B,8,R2,D7,charles,46%,15C,B8
P17,B,9,R3,D7,charles,46%,15C,B9
P17,B,10,R1,D7,fucus,46%,15C,B10
P17,B,11,R2,D7,fucus,46%,15C,B11
P17,B,12,R3,D7,fucus,46%,15C,B12
P17,C,1,R1,D7,ica,31%,15C,C1
P17,C,2,R2,D7,ica,31%,15C,C2
P17,C,3,R3,D7,ica,31%,15C,C3
P17,C,4,R1,D7,nahant,31%,15C,C4
P17,C,5,R2,D7,nahant,31%,15C,C5
P17,C,6,R3,D7,nahant,31%,15C,C6
P17,C,7,R1,D7,charles,31%,15C,C7
P17,C,8,R2,D7,charles,31%,15C,C8
P17,C,9,R3,D7,charles,31%,15C,C9
P17,C,10,R1,D7,fucus,31%,15C,C10
P17,C,11,R2,D7,fucus,31%,15C,C11
P17,C,12,R3,D7,fucus,31%,15C,C12
P17,D,1,R1,D7,ica,16%,15C,D1
P17,D,2,R2,D7,ica,16%,15C,D2
P17,D,3,R3,D7,ica,16%,15C,D3
P17,D,4,R1,D7,nahant,16%,15C,D4
P17,D,5,R2,D7,nahant,16%,15C,D5
P17,D,6,R3,D7,nahant,16%,15C,D6
P17,D,7,R1,D7,charles,16%,15C,D7
P17,D,8,R2,D7,charles,16%,15C,D8
P17,D,9,R3,D7,charles,16%,15C,D9
P17,D,10,R1,D7,fucus,16%,15C,D10
P17,D,11,R2,D7,fucus,16%,15C,D11
P17,D,12,R3,D7,fucus,16%,15C,D12
P17,E,1,R1,D6,ica,46%,15C,E1
P17,E,2,R2,D6,ica,46%,15C,E2
P17,E,3,R3,D6,ica,46%,15C,E3
P17,E,4,R1,D6,nahant,46%,15C,E4
P17,E,5,R2,D6,nahant,46%,15C,E5
P17,E,6,R3,D6,nahant,46%,15C,E6
P17,E,7,R1,D6,charles,46%,15C,E7
P17,E,8,R2,D6,charles,46%,15C,E8
P17,E,9,R3,D6,charles,46%,15C,E9
P17,E,10,R1,D6,fucus,46%,15C,E10
P17,E,11,R2,D6,fucus,46%,15C,E11
P17,E,12,R3,D6,fucus,46%,15C,E12
P17,F,1,R1,D6,ica,31%,15C,F1
P17,F,2,R2,D6,ica,31%,15C,F2
P17,F,3,R3,D6,ica,31%,15C,F3
P17,F,4,R1,D6,nahant,31%,15C,F4
P17,F,5,R2,D6,nahant,31%,15C,F5
P17,F,6,R3,D6,nahant,31%,15C,F6
P17,F,7,R1,D6,charles,31%,15C,F7
P17,F,8,R2,D6,charles,31%,15C,F8
P17,F,9,R3,D6,charles,31%,15C,F9
P17,F,10,R1,D6,fucus,31%,15C,F10
P17,F,11,R2,D6,fucus,31%,15C,F11
P17,F,12,R3,D6,fucus,31%,15C,F12
P17,G,1,R1,D6,ica,16%,15C,G1
P17,G,2,R2,D6,ica,16%,15C,G2
P17,G,3,R3,D6,ica,16%,15C,G3
P17,G,4,R1,D6,nahant,16%,15C,G4
P17,G,5,R2,D6,nahant,16%,15C,G5
P17,G,6,R3,D6,nahant,16%,15C,G6
P17,G,7,R1,D6,charles,16%,15C,G7
P17,G,8,R2,D6,charles,16%,15C,G8
P17,G,9,R3,D6,charles,16%,15C,G9
P17,G,10,R1,D6,fucus,16%,15C,G10
P17,G,11,R2,D6,fucus,16%,15C,G11
P17,G,12,R3,D6,fucus,16%,15C,G12
P17,H,1,R1,D5,ica,46%,15C,H1
P17,H,2,R2,D5,ica,46%,15C,H2
P17,H,3,R3,D5,ica,46%,15C,H3
P17,H,4,R1,D5,nahant,46%,15C,H4
P17,H,5,R2,D5,nahant,46%,15C,H5
P17,H,6,R3,D5,nahant,46%,15C,H6
P17,H,7,R1,D5,charles,46%,15C,H7
P17,H,8,R2,D5,charles,46%,15C,H8
P17,H,9,R3,D5,charles,46%,15C,H9
P17,H,10,R1,D5,fucus,46%,15C,H10
P17,H,11,R2,D5,fucus,46%,15C,H11
P17,H,12,R3,D5,fucus,46%,15C,H12
