rep,day,inoc,salt,temp,mcn
R2,D3,fucus,31%,15C,7.146502565528115
R2,D3,fucus,31%,roomT,8.841106775267061
R2,D3,fucus,46%,15C,8.519990315439973
R2,D3,fucus,46%,roomT,9.521496856247037
R2,D3,ica,16%,15C,6.027278547451046
R2,D3,ica,16%,roomT,7.551677119654672
R2,D3,ica,31%,15C,6.538368584798503
R2,D3,ica,31%,roomT,5.377365446893155
R2,D3,ica,46%,15C,7.610471928558939
R2,D3,ica,46%,roomT,8.370636218038129
R2,D3,nahant,16%,15C,7.796087663114574
R2,D3,nahant,16%,roomT,8.278226725227993
R2,D3,nahant,31%,15C,10.006890687536233
R2,D3,nahant,31%,roomT,8.240761136548947
R2,D3,nahant,46%,15C,8.51555936868436
R2,D3,nahant,46%,roomT,8.655189635068886
R2,D5,charles,16%,15C,3.0402098142896024
R2,D5,charles,16%,roomT,6.564744055282091
R2,D5,charles,31%,15C,3.0163067194171873
R2,D5,charles,31%,roomT,6.719376065505972
R2,D5,charles,46%,15C,4.5908950119527345
R2,D5,charles,46%,roomT,4.7957458641604
R2,D5,fucus,16%,15C,5.7618099621117835
R2,D5,fucus,16%,roomT,2.251636420057087
R2,D5,fucus,31%,15C,8.599635785634748
R2,D5,fucus,31%,roomT,7.81879686712177
R2,D5,fucus,46%,15C,8.07192929446208
R2,D5,fucus,46%,roomT,7.7938382975763485
R2,D5,ica,16%,15C,7.612847561661084
R2,D5,ica,16%,roomT,8.91407764178795
R2,D5,ica,31%,15C,5.6424339097587035
R2,D5,ica,31%,roomT,5.887375857253939
R2,D5,ica,46%,15C,4.235321435546908
R2,D5,ica,46%,roomT,8.432609524518742
R2,D5,nahant,16%,15C,8.278142713994699
R2,D5,nahant,16%,roomT,8.063008294819674
R2,D5,nahant,31%,15C,9.774825740130716
R2,D5,nahant,31%,roomT,8.090549122869096
R2,D5,nahant,46%,15C,6.684229902043662
R2,D5,nahant,46%,roomT,9.091298655733862
R2,D6,charles,16%,15C,3.5757998357463165
R2,D6,charles,16%,roomT,5.857515180049801
R2,D6,charles,31%,15C,5.5938557300572365
R2,D6,charles,31%,roomT,6.375655405856729
R2,D6,charles,46%,15C,4.549189719312476
R2,D6,charles,46%,roomT,4.734388440950834
R2,D6,fucus,16%,15C,4.890586866659105
R2,D6,fucus,16%,roomT,2.334242876481956
R2,D6,fucus,31%,15C,9.311049440710324
R2,D6,fucus,31%,roomT,7.65315768894061
R2,D6,fucus,46%,15C,7.628912123744125
R2,D6,fucus,46%,roomT,9.3437791384374
R2,D6,ica,16%,15C,9.094510449779861
R2,D6,ica,16%,roomT,8.681151227703486
R2,D6,ica,31%,15C,6.137038522617927
R2,D6,ica,31%,roomT,8.04147658929778
R2,D6,ica,46%,15C,5.943603248628458
R2,D6,ica,46%,roomT,8.46705699339426
R2,D6,nahant,16%,15C,7.321049524725438
