day,temp,salt,cond,od
d1,roomtemp,46,blank,0.041099999099969864
d1,roomtemp,46,blank,0.040800001472234726
d2,15C,16,blank,0.04100000113248825
d2,15C,16,blank,0.041099999099969864
d2,15C,16,charles,0.486299991607666
d2,15C,16,blank,0.04179999977350235
d2,15C,31,blank,0.04149999842047691
d2,15C,31,blank,0.04089999943971634
d2,15C,31,charles,0.6105999946594238
d2,15C,31,blank,0.04129999876022339
d2,15C,46,blank,0.04170000180602074
d2,15C,46,blank,0.04190000146627426
d2,15C,46,charles,0.5296000242233276
d2,15C,46,blank,0.04129999876022339
d2,15C,16,ica,0.6309999823570251
d2,15C,16,blank,0.041099999099969864
d2,15C,16,charles,0.6039999723434448
d2,15C,16,blank,0.041200000792741776
d2,15C,31,ica,0.573199987411499
d2,15C,31,blank,0.04050000011920929
d2,15C,31,charles,0.609000027179718
d2,15C,31,blank,0.04089999943971634
d2,15C,46,ica,0.9013000130653381
d2,15C,46,blank,0.041200000792741776
d2,15C,46,charles,0.5593000054359436
d2,15C,46,blank,0.041200000792741776
d2,15C,16,ica,0.5157999992370605
d2,15C,16,blank,0.04230000078678131
d2,15C,16,charles,0.5285999774932861
d2,15C,16,blank,0.04129999876022339
d2,15C,31,ica,0.5785999894142151
d2,15C,31,blank,0.04129999876022339
d2,15C,31,charles,0.5422000288963318
d2,15C,31,blank,0.04100000113248825
d2,15C,46,ica,0.7789999842643738
d2,15C,46,blank,0.04129999876022339
d2,15C,46,charles,0.4659999907016754
d2,15C,46,blank,0.04089999943971634
d2,15C,16,ica,0.5830000042915344
d2,15C,16,blank,0.041200000792741776
d2,15C,16,blank,0.04089999943971634
d2,15C,16,blank,0.04089999943971634
d2,15C,31,ica,0.626800000667572
d2,15C,31,blank,0.04019999876618385
d2,15C,31,blank,0.040699999779462814
d2,15C,31,blank,0.04089999943971634
d2,15C,46,ica,0.8410000205039978
d2,15C,46,blank,0.040699999779462814
d2,15C,46,blank,0.042100001126527786
d2,15C,46,blank,0.041099999099969864
d2,15C,16,blank,0.0406000018119812
d2,15C,16,blank,0.04089999943971634
d2,15C,16,fucus,0.6414999961853027
d2,15C,16,blank,0.0414000004529953
d2,15C,31,blank,0.04170000180602074
d2,15C,31,blank,0.042100001126527786
d2,15C,31,fucus,0.5486000180244446
d2,15C,31,blank,0.04190000146627426
d2,15C,46,blank,0.041600000113248825
d2,15C,46,blank,0.04100000113248825
d2,15C,46,fucus,0.44040000438690186
d2,15C,46,blank,0.041999999433755875
d2,15C,16,nahant,0.7106000185012817
d2,15C,16,blank,0.040699999779462814
d2,15C,16,fucus,0.6193000078201294
d2,15C,16,blank,0.041099999099969864
d2,15C,31,nahant,0.6151999831199646
d2,15C,31,blank,0.0406000018119812
d2,15C,31,fucus,0.5148000121116638
d2,15C,31,blank,0.04089999943971634
d2,15C,46,nahant,0.6258999705314636
d2,15C,46,blank,0.0414000004529953
d2,15C,46,fucus,0.9014999866485596
d2,15C,46,blank,0.041999999433755875
d2,15C,16,nahant,0.6572999954223633
d2,15C,16,blank,0.04050000011920929
d2,15C,16,fucus,0.6427000164985657
d2,15C,16,blank,0.040300000458955765
d2,15C,31,nahant,0.4724000096321106
d2,15C,31,blank,0.040800001472234726
d2,15C,31,fucus,0.5759000182151794
d2,15C,31,blank,0.040800001472234726
d2,15C,46,nahant,0.7477999925613403
d2,15C,46,blank,0.04129999876022339
d2,15C,46,fucus,0.8769999742507935
d2,15C,46,blank,0.041200000792741776
d2,15C,16,nahant,0.560699999332428
d2,15C,16,blank,0.04149999842047691
d2,15C,16,blank,0.040699999779462814
d2,15C,16,blank,0.04100000113248825
d2,15C,31,nahant,0.6399000287055969
d2,15C,31,blank,0.03970000147819519
d2,15C,31,blank,0.039900001138448715
d2,15C,31,blank,0.04050000011920929
d2,15C,46,nahant,0.7204999923706055
d2,15C,46,blank,0.0406000018119812
d2,15C,46,blank,0.040800001472234726
d2,15C,46,blank,0.04039999842643738
d2,roomtemp,16,blank,0.04039999842643738
d2,roomtemp,16,blank,0.040699999779462814
d2,roomtemp,16,charles,0.5382999777793884
d2,roomtemp,16,blank,0.04170000180602074
d2,roomtemp,31,blank,0.04100000113248825
d2,roomtemp,31,blank,0.041200000792741776
d2,roomtemp,31,charles,0.6244000196456909
d2,roomtemp,31,blank,0.04100000113248825
d2,roomtemp,46,blank,0.041600000113248825
d2,roomtemp,46,blank,0.04179999977350235
d2,roomtemp,46,charles,0.6414999961853027
d2,roomtemp,46,blank,0.04390000179409981
d2,roomtemp,16,ica,0.6380000114440918
d2,roomtemp,16,blank,0.04170000180602074
d2,roomtemp,16,charles,0.5164999961853027
d2,roomtemp,16,blank,0.041099999099969864
d2,roomtemp,31,ica,0.5878999829292297
d2,roomtemp,31,blank,0.040800001472234726
d2,roomtemp,31,charles,0.42969998717308044
d2,roomtemp,31,blank,0.04089999943971634
d2,roomtemp,46,ica,0.6154999732971191
d2,roomtemp,46,blank,0.04129999876022339
d2,roomtemp,46,charles,0.7541999816894531
d2,roomtemp,46,blank,0.0414000004529953
d2,roomtemp,16,ica,0.48559999465942383
d2,roomtemp,16,blank,0.04129999876022339
d2,roomtemp,16,charles,0.4828999936580658
d2,roomtemp,16,blank,0.041099999099969864
d2,roomtemp,31,ica,0.44279998540878296
d2,roomtemp,31,blank,0.041099999099969864
d2,roomtemp,31,charles,0.49889999628067017
d2,roomtemp,31,blank,0.041099999099969864
d2,roomtemp,46,ica,0.7092000246047974
d2,roomtemp,46,blank,0.041099999099969864
d2,roomtemp,46,charles,0.823199987411499
d2,roomtemp,46,blank,0.04129999876022339
d2,roomtemp,16,ica,0.44519999623298645
d2,roomtemp,16,blank,0.04129999876022339
d2,roomtemp,16,blank,0.04179999977350235
d2,roomtemp,16,blank,0.04089999943971634
d2,roomtemp,31,ica,0.5690000057220459
d2,roomtemp,31,blank,0.041099999099969864
d2,roomtemp,31,blank,0.041200000792741776
d2,roomtemp,31,blank,0.04100000113248825
d2,roomtemp,46,ica,0.5544999837875366
d2,roomtemp,46,blank,0.041099999099969864
d2,roomtemp,46,blank,0.04129999876022339
d2,roomtemp,46,blank,0.04100000113248825
d2,roomtemp,16,blank,0.040800001472234726
d2,roomtemp,16,blank,0.043699998408555984
d2,roomtemp,16,fucus,0.4196999967098236
d2,roomtemp,16,blank,0.04170000180602074
d2,roomtemp,31,blank,0.04179999977350235
d2,roomtemp,31,blank,0.0406000018119812
d2,roomtemp,31,fucus,0.4368000030517578
d2,roomtemp,31,blank,0.04149999842047691
d2,roomtemp,46,blank,0.041200000792741776
d2,roomtemp,46,blank,0.041200000792741776
d2,roomtemp,46,fucus,0.5954999923706055
d2,roomtemp,46,blank,0.0414000004529953
d2,roomtemp,16,nahant,0.33820000290870667
d2,roomtemp,16,blank,0.04179999977350235
d2,roomtemp,16,fucus,0.4429999887943268
d2,roomtemp,16,blank,0.041600000113248825
d2,roomtemp,31,nahant,0.6154000163078308
d2,roomtemp,31,blank,0.0406000018119812
d2,roomtemp,31,fucus,0.5432999730110168
d2,roomtemp,31,blank,0.040800001472234726
d2,roomtemp,46,nahant,0.46939998865127563
d2,roomtemp,46,blank,0.0421999990940094
d2,roomtemp,46,fucus,0.5210999846458435
d2,roomtemp,46,blank,0.04100000113248825
d2,roomtemp,16,nahant,0.3763999938964844
d2,roomtemp,16,blank,0.0406000018119812
