day_ID,salinity,salt,competition,pair,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D1,16,16,50-50,2-25,2,25,3666666666.6666665,11000000000,0.2681318681318681
D1,16,16,50-50,2-32,2,32,0,4466666666.666667,1
D1,16,16,50-50,2-II.F2,2,II.F2,1466666666.6666667,500000000,0.7623931623931625
D1,16,16,50-50,40-2,40,2,5200000000,0,0
D1,16,16,50-50,40-39,40,39,0,0,NA
D1,16,16,50-50,40-8,40,8,2800000000,933333333.3333334,0.2753387533875339
D1,16,16,50-50,40-II.F2,40,II.F2,0,0,NA
D1,16,16,50-50,6-25,6,25,42333333333.333336,1666666666.6666667,0.9514652014652015
D1,16,16,95-5,2-25,2,25,0,0,NA
D1,16,16,95-5,2-32,2,32,133333333.33333333,1100000000,0.9259259259259259
D1,16,16,95-5,2-II.F2,2,II.F2,1166666666.6666667,433333333.3333333,0.6349206349206349
D1,16,16,95-5,40-2,40,2,3433333333.3333335,0,0
D1,16,16,95-5,40-39,40,39,4800000000,566666666.6666666,0.8805500947523157
D1,16,16,95-5,40-8,40,8,3400000000,266666666.66666666,0.0688449848024316
D1,16,16,95-5,40-II.F2,40,II.F2,2066666666.6666665,0,1
D1,16,16,95-5,6-25,6,25,0,0,NA
D1,31,31,100,2,2,2,2033333333.3333333,0,1
D1,31,31,100,25,25,25,8266666666.666667,0,1
D1,31,31,100,32,32,32,2300000000,0,1
D1,31,31,100,39,39,39,2300000000,0,1
D1,31,31,100,40,40,40,7466666666.666667,0,1
D1,31,31,100,8,8,8,1433333333.3333333,0,1
D1,31,31,100,II.F2,II.F2,II.F2,2633333333.3333335,0,1
D1,31,31,5-95,2-32,2,32,0,2800000000,1
D1,31,31,5-95,2-II.F2,2,II.F2,1866666666.6666667,1066666666.6666666,0.6278140885984024
D1,31,31,5-95,40-2,40,2,500000000,2700000000,0.8501543501543501
D1,31,31,5-95,40-39,40,39,4266666666.6666665,266666666.66666666,0.9337301587301587
D1,31,31,5-95,40-8,40,8,266666666.6666667,1333333333.3333333,0.8412698412698413
D1,31,31,5-95,40-II.F2,40,II.F2,3600000000,2133333333.3333333,0.630606575652905
D1,31,31,50-50,2-32,2,32,0,1833333333.3333333,1
D1,31,31,50-50,2-II.F2,2,II.F2,1833333333.3333333,133333333.33333333,0.9301670551670552
D1,31,31,50-50,40-2,40,2,2166666666.6666665,1133333333.3333333,0.3381413868229284
D1,31,31,50-50,40-39,40,39,5666666666.666667,133333333.33333333,0.976673514809108
D1,31,31,50-50,40-8,40,8,3266666666.6666665,533333333.3333333,0.1452991452991453
D1,31,31,50-50,40-II.F2,40,II.F2,5800000000,433333333.3333333,0.93152741433151
D1,31,31,95-5,2-32,2,32,900000000,333333333.3333333,0.2868686868686869
D1,31,31,95-5,2-II.F2,2,II.F2,2466666666.6666665,33333333.333333336,0.9833333333333333
D1,31,31,95-5,40-2,40,2,4633333333.333333,66666666.666666664,0.01466795615731786
D1,31,31,95-5,40-39,40,39,3300000000,533333333.3333333,0.821125220755193
D1,31,31,95-5,40-8,40,8,4600000000,466666666.6666667,0.09049382716049383
D1,31,31,95-5,40-II.F2,40,II.F2,6766666666.666667,166666666.66666666,0.9746764340811256
D1,46,46,100,2,2,2,1200000000,0,1
D1,46,46,100,25,25,25,9166666666.666666,0,1
D1,46,46,100,32,32,32,2500000000,0,1
D1,46,46,100,39,39,39,633333333.3333334,0,1
D1,46,46,100,40,40,40,5600000000,0,1
D1,46,46,100,8,8,8,700000000,0,1
D1,46,46,100,II.F2,II.F2,II.F2,2600000000,0,1
D1,46,46,5-95,2-25,2,25,0,0,NA
D1,46,46,5-95,2-32,2,32,0,2300000000,1
D1,46,46,5-95,2-II.F2,2,II.F2,1633333333.3333333,1433333333.3333333,0.5373074687590816
D1,46,46,5-95,40-2,40,2,33333333.333333336,2100000000,0.9814814814814815
D1,46,46,5-95,40-39,40,39,200000000,233333333.33333334,0.48333333333333334
D1,46,46,5-95,40-8,40,8,100000000,633333333.3333334,0.8714285714285714
D1,46,46,5-95,40-II.F2,40,II.F2,2433333333.3333335,1500000000,0.6096124305801726
D1,46,46,5-95,6-25,6,25,0,0,NA
D1,46,46,50-50,2-25,2,25,0,0,NA
D1,46,46,50-50,2-32,2,32,66666666.666666664,1900000000,0.953968253968254
D1,46,46,50-50,2-II.F2,2,II.F2,1933333333.3333333,66666666.666666664,0.9652406417112299
D1,46,46,50-50,40-2,40,2,1533333333.3333333,1066666666.6666666,0.41265141839854486
D1,46,46,50-50,40-39,40,39,966666666.6666666,666666666.6666666,0.5633528265107213
D1,46,46,50-50,40-8,40,8,1400000000,500000000,0.3248456790123457
D1,46,46,50-50,40-II.F2,40,II.F2,5766666666.666667,1100000000,0.8384330950962875
D1,46,46,50-50,6-25,6,25,0,0,NA
D1,46,46,95-5,2-25,2,25,10000000000,3666666666.6666665,0.6192696192696192
D1,46,46,95-5,2-32,2,32,800000000,133333333.33333333,0.14285714285714285
D1,46,46,95-5,2-II.F2,2,II.F2,1266666666.6666667,0,1
D1,46,46,95-5,40-2,40,2,4033333333.3333335,466666666.6666667,0.10678733031674208
D1,46,46,95-5,40-39,40,39,5000000000,0,1
D1,46,46,95-5,40-8,40,8,3966666666.6666665,300000000,0.0697364030697364
D1,46,46,95-5,40-II.F2,40,II.F2,4766666666.666667,933333333.3333334,0.8348889465041915
D1,46,46,95-5,6-25,6,25,10000000000,3666666666.6666665,0.72375
D1,61,61,100,2,2,2,2133333333.3333333,0,1
D1,61,61,100,25,25,25,6633333333.333333,0,1
D1,61,61,100,32,32,32,1900000000,0,1
D1,61,61,100,39,39,39,100000000,0,1
D1,61,61,100,40,40,40,5066666666.666667,0,1
D1,61,61,100,8,8,8,833333333.3333334,0,1
D1,61,61,100,II.F2,II.F2,II.F2,2000000000,0,1
D1,61,61,5-95,2-25,2,25,4666666666.666667,3333333333.3333335,0.6185185185185186
D1,61,61,5-95,2-32,2,32,133333333.33333334,3733333333.3333335,0.9639423076923077
D1,61,61,5-95,2-II.F2,2,II.F2,2333333333.3333335,1733333333.3333333,0.5799663299663299
D1,61,61,5-95,40-2,40,2,66666666.666666664,1933333333.3333333,0.9674603174603175
D1,61,61,5-95,40-39,40,39,0,0,NA
D1,61,61,5-95,40-8,40,8,200000000,1100000000,0.8441558441558442
D1,61,61,5-95,40-II.F2,40,II.F2,0,0,NA
