day_ID,salinity,salt,pair,pair_type,strain1,strain2,mean_CFU_1,mean_CFU_2,mean_ratio_fast
D0,46,46,39,mono,39,39,111111111.11111112,0,1
D0,46,46,40,mono,40,40,130000000,0,1
D0,46,46,40-2,pair,40,2,77777777.77777778,106296296.29629628,0.5911718543084682
D0,46,46,40-39,pair,40,39,94074074.07407407,56296296.29629629,0.5758546099759998
D0,46,46,40-8,pair,40,8,76666666.66666666,50000000,0.5032693353345528
D0,46,46,40-II.F2,pair,40,II.F2,83333333.33333334,100370370.37037036,0.49018926288974984
D0,46,46,6-25,pair,6,25,90000000,215185185.1851852,0.4060128250340364
D0,46,46,8,mono,8,8,72222222.22222222,0,1
D0,46,46,II.F2,mono,II.F2,II.F2,102222222.22222222,0,1
D0,61,61,2,mono,2,2,135555555.55555555,0,1
D0,61,61,2-25,pair,2,25,145925925.9259259,164444444.44444445,0.6365442448182462
D0,61,61,2-32,pair,2,32,117037037.03703704,89629629.62962963,0.4765553661615661
D0,61,61,2-II.F2,pair,2,II.F2,117037037.03703703,75925925.92592593,0.5951537166130816
D0,61,61,25,mono,25,25,574444444.4444444,0,1
D0,61,61,32,mono,32,32,103333333.33333333,0,1
D0,61,61,39,mono,39,39,111111111.11111112,0,1
D0,61,61,40,mono,40,40,130000000,0,1
D0,61,61,40-2,pair,40,2,77777777.77777778,106296296.29629628,0.5911718543084682
D0,61,61,40-39,pair,40,39,94074074.07407407,56296296.29629629,0.5758546099759998
D0,61,61,40-8,pair,40,8,76666666.66666666,50000000,0.5032693353345528
D0,61,61,40-II.F2,pair,40,II.F2,83333333.33333334,100370370.37037036,0.49018926288974984
D0,61,61,6-25,pair,6,25,90000000,215185185.1851852,0.4060128250340364
D0,61,61,8,mono,8,8,72222222.22222222,0,1
D0,61,61,II.F2,mono,II.F2,II.F2,102222222.22222222,0,1
D1,16,16,2,mono,2,2,2600000000,0,1
D1,16,16,2-25,pair,2,25,3888888888.888889,6666666666.666666,0.3402656120047424
D1,16,16,2-32,pair,2,32,44444444.44444445,3733333333.333333,0.9753086419753086
D1,16,16,2-II.F2,pair,2,II.F2,1166666666.6666667,1177777777.7777777,0.5525097096414926
D1,16,16,25,mono,25,25,8733333333.333334,0,1
D1,16,16,32,mono,32,32,2300000000,0,1
D1,16,16,39,mono,39,39,3966666666.6666665,0,1
D1,16,16,40,mono,40,40,5600000000,0,1
D1,16,16,40-2,pair,40,2,4122222222.2222223,0,0
D1,16,16,40-39,pair,40,39,1988888888.8888888,266666666.6666667,0.86874590439757
D1,16,16,40-8,pair,40,8,2322222222.2222223,711111111.1111112,0.31085926675607933
D1,16,16,40-II.F2,pair,40,II.F2,688888888.8888888,0,1
D1,16,16,6-25,pair,6,25,29111111111.11111,1555555555.5555556,0.9215597543600881
D1,16,16,8,mono,8,8,1100000000,0,1
D1,16,16,II.F2,mono,II.F2,II.F2,2833333333.3333335,0,1
D1,31,31,2,mono,2,2,2033333333.3333333,0,1
D1,31,31,2-32,pair,2,32,300000000,1655555555.5555556,0.7622895622895622
D1,31,31,2-II.F2,pair,2,II.F2,2055555555.5555556,411111111.1111111,0.847104825699597
D1,31,31,25,mono,25,25,8266666666.666667,0,1
D1,31,31,32,mono,32,32,2300000000,0,1
D1,31,31,39,mono,39,39,2300000000,0,1
D1,31,31,40,mono,40,40,7466666666.666667,0,1
D1,31,31,40-2,pair,40,2,2433333333.333333,1300000000,0.40098789771153215
D1,31,31,40-39,pair,40,39,4411111111.111111,311111111.1111111,0.9105096314314866
D1,31,31,40-8,pair,40,8,2711111111.111111,777777777.7777778,0.3590209379098268
D1,31,31,40-II.F2,pair,40,II.F2,5388888888.888889,911111111.1111112,0.8456034746885135
D1,31,31,8,mono,8,8,1433333333.3333333,0,1
D1,31,31,II.F2,mono,II.F2,II.F2,2633333333.3333335,0,1
D1,46,46,2,mono,2,2,1200000000,0,1
D1,46,46,2-25,pair,2,25,3333333333.333333,1222222222.2222223,0.6192696192696192
D1,46,46,2-32,pair,2,32,288888888.88888896,1444444444.4444444,0.698941798941799
D1,46,46,2-II.F2,pair,2,II.F2,1611111111.1111112,500000000,0.8341827034901039
D1,46,46,25,mono,25,25,9166666666.666666,0,1
D1,46,46,32,mono,32,32,2500000000,0,1
D1,46,46,39,mono,39,39,633333333.3333334,0,1
D1,46,46,40,mono,40,40,5600000000,0,1
D1,46,46,40-2,pair,40,2,1866666666.6666665,1211111111.1111112,0.5003067433989228
D1,46,46,40-39,pair,40,39,2055555555.5555558,300000000,0.6822287199480181
D1,46,46,40-8,pair,40,8,1822222222.2222223,477777777.7777778,0.4220035511702178
D1,46,46,40-II.F2,pair,40,II.F2,4322222222.222222,1177777777.7777777,0.7609781573935505
D1,46,46,6-25,pair,6,25,3333333333.333333,1222222222.2222223,0.72375
D1,46,46,8,mono,8,8,700000000,0,1
D1,46,46,II.F2,mono,II.F2,II.F2,2600000000,0,1
D1,61,61,2,mono,2,2,2133333333.3333333,0,1
D1,61,61,2-25,pair,2,25,4000000000,2444444444.4444447,0.6370370370370371
D1,61,61,2-32,pair,2,32,533333333.3333334,2733333333.3333335,0.7219437501346317
D1,61,61,2-II.F2,pair,2,II.F2,2322222222.2222223,744444444.4444444,0.7998562691545148
D1,61,61,25,mono,25,25,6633333333.333333,0,1
D1,61,61,32,mono,32,32,1900000000,0,1
D1,61,61,39,mono,39,39,100000000,0,1
D1,61,61,40,mono,40,40,5066666666.666667,0,1
D1,61,61,40-2,pair,40,2,955555555.5555556,1466666666.6666667,0.6531638296344179
D1,61,61,40-39,pair,40,39,1266666666.6666665,11111111.111111112,0.9912280701754386
D1,61,61,40-8,pair,40,8,1288888888.8888888,788888888.8888888,0.44489861989861995
D1,61,61,40-II.F2,pair,40,II.F2,933333333.3333334,266666666.66666663,0.7802197802197802
D1,61,61,6-25,pair,6,25,7111111111.111111,5444444444.444445,0.5542206250539584
D1,61,61,8,mono,8,8,833333333.3333334,0,1
D1,61,61,II.F2,mono,II.F2,II.F2,2000000000,0,1
D3,16,16,2,mono,2,2,1566666666.6666667,0,1
D3,16,16,2-25,pair,2,25,1444444444.4444444,11000000000,0.1265404348737682
D3,16,16,2-32,pair,2,32,33333333.33333333,2944444444.4444447,0.875
D3,16,16,2-II.F2,pair,2,II.F2,1033333333.3333334,2788888888.888889,0.26663780699515244
D3,16,16,25,mono,25,25,7833333333.333333,0,1
D3,16,16,32,mono,32,32,2533333333.3333335,0,1
D3,16,16,39,mono,39,39,3600000000,0,1
D3,16,16,40,mono,40,40,4933333333.333333,0,1
D3,16,16,40-2,pair,40,2,3655555555.5555553,0,0
D3,16,16,40-39,pair,40,39,3677777777.7777777,633333333.3333334,0.84582421522446
D3,16,16,40-8,pair,40,8,2511111111.111111,466666666.6666667,0.1574377546245443
D3,16,16,40-II.F2,pair,40,II.F2,3422222222.2222223,344444444.4444444,0.9050571623170723
D3,16,16,6-25,pair,6,25,3777777777.7777777,7777777777.777778,0.3362995483093522
D3,16,16,8,mono,8,8,1400000000,0,1
D3,16,16,II.F2,mono,II.F2,II.F2,2133333333.3333333,0,1
D3,31,31,2,mono,2,2,2233333333.3333335,0,1
D3,31,31,2-25,pair,2,25,2166666666.6666665,2666666666.6666665,0.453525438174561
D3,31,31,2-32,pair,2,32,477777777.7777778,2766666666.6666665,0.8573086381577297
D3,31,31,2-II.F2,pair,2,II.F2,2066666666.6666667,988888888.8888888,0.7190317038879844
