isolate_id,nreps,ndates,lin_x0,lin_slope,lin_x0_sd,lin_slope_sd,lin_sigma,lin_adj_rsquared,seg_x0_1,seg_slope1,changepoint,seg_slope2,seg_x0_2,fit_smax,fit_gchange,seg_sigma,seg_adj_rsquared,fit_sopt
II.C3,1,1,0.5353,-0.0071,0.0594,0.0012,0.1193,0.755,0.6426,-0.0116,55.2352,0,0.0019,55.3966,0.0019,0.0809,0.8875,55.2352
2,12,10,0.7971,9e-4,0.0624,0.0013,0.4298,-0.0031,-0.0222,0.0598,22.8843,-0.0119,1.6186,136.0168,1.3463,0.1798,0.8245,22.8843
4,8,6,0.2175,-0.0023,0.0402,8e-4,0.2284,0.0722,0.0704,0.036,5.0001,-0.0031,0.2659,85.7742,0.2504,0.2253,0.0965,5.0001
6,8,7,1.1152,-0.0101,0.0249,5e-4,0.1413,0.8112,0.9432,0.0018,24.5594,-0.0132,1.3116,99.3636,0.98740000000000006,0.1119,0.8816,24.5594
7,4,3,0.6644,0.0027,0.0689,0.0014,0.2767,0.0583,0.2002,0.0368,22.7581,-0.0048,1.1469,238.9375,1.0377,0.1549,0.7049,22.7581
8,10,8,0.8483,-4e-4,0.0591,0.0012,0.3754,-0.0077,0.1521,0.0669,15.7912,-0.0082,1.338,163.1707,1.2085,0.2205,0.6524,15.7912
10,6,4,0.5351,-0.0069,0.0252,5e-4,0.1239,0.7196,0.6177,-0.0103,59.9679,0,0,59.9709,0,0.102,0.8101,59.9679
26,7,5,0.2897,-0.0023,0.0304,6e-4,0.1615,0.1349,0,0.0732,5.0001,-0.0038,0.385,101.3158,0.366,0.1302,0.4373,5.0001
27,5,4,0.6485,0.0013,0.0796,0.0016,0.3573,-0.0058,-0.0721,0.058,20.4068,-0.009,1.2952,143.9111,1.1115,0.0963,0.9269,20.4068
29,5,4,0.7813,0.0013,0.0615,0.0012,0.2761,0.001,0.2645,0.04,21.9978,-0.0068,1.294,190.2941,1.1444,0.1119,0.836,21.9978
36,1,1,0.5713,-0.0032,0.1047,0.0021,0.2103,0.1003,0,0.1457,5.0001,-0.0062,0.7595,122.5,0.7285,0.0324,0.9786,5.0001
38,3,3,0.7645,-9e-4,0.0849,0.0017,0.2954,-0.0219,0.1973,0.0431,20.9116,-0.0092,1.291,140.3261,1.0986,0.1074,0.8648,20.9116
41,5,4,0.808,-2e-4,0.0613,0.0012,0.2752,-0.0167,0.3002,0.0383,21.6499,-0.008,1.3026,162.825,1.1294,0.1227,0.798,21.6499
43,6,5,0.8812,-9e-4,0.0774,0.0016,0.3742,-0.0098,0.1734,0.0511,22.0711,-0.0114,1.5528,136.2105,1.3012,0.1665,0.8,22.0711
44,6,5,1.0152,-0.0109,0.0357,7e-4,0.1755,0.762,1.0356,-0.0116,79.9999,-0.0052,0.5236,100.6923,0.1076,0.1757,0.7613,79.9999
25,8,8,0.5178,-0.0039,0.0117,2e-4,0.0667,0.7436,0.4769,-0.0023,61.6062,-0.0077,0.8096,105.1429,0.3352,0.0561,0.8184,61.6062
30,6,5,0.8096,-0.0014,0.064,0.0013,0.3149,0.0018,-0,0.142,8.1214,-0.008,1.2182,152.275,1.1532,0.1061,0.8868,8.1214
1,3,2,0.5709,8e-4,0.0739,0.0015,0.2571,-0.0197,0.1271,0.0313,24.9034,-0.0072,1.0859,150.8194,0.9066,0.1133,0.8018,24.9034
3,3,2,0.5305,0.0019,0.0696,0.0014,0.242,0.0209,0.0931,0.0346,22.0526,-0.005,0.9664,193.28,0.8561,0.1101,0.7971,22.0526
11,4,3,0.7339,0.0014,0.0797,0.0016,0.3203,-0.0042,0.0551,0.0589,18.6337,-0.0074,1.2905,174.3919,1.1526,0.0524,0.9731,18.6337
17,4,3,0.7276,5e-4,0.084,0.0017,0.3376,-0.0195,0.0042,0.0639,17.8843,-0.0086,1.3008,151.2558,1.147,0.0602,0.9676,17.8843
21,7,5,0.4828,-0.002,0.0672,0.0014,0.3558,0.0143,-0.0606,0.0338,26.5687,-0.0126,1.1722,93.0317,0.8374,0.206,0.6696,26.5687
I1,8,6,0.0802,-5e-4,0.0203,4e-4,0.1151,0.005,-0.0121,0.0061,23.3779,-0.0021,0.1796,85.5238,0.1305,0.1066,0.1464,23.3779
16,4,2,0.5819,-0.0086,0.047,9e-4,0.1888,0.6329,0.8531,-0.0219,38.985,0,-7e-4,38.9543,-7e-4,0.051,0.9732,38.985
14,7,5,0.2204,7e-4,0.0197,4e-4,0.1047,0.0226,-0,0.0555,5.3272,-6e-4,0.2989,498.1667,0.2957,0.0746,0.5038,5.3272
18,9,7,0.3822,-0.0028,0.0381,8e-4,0.2293,0.1043,0.1061,0.0691,5.0001,-0.0043,0.4731,110.0233,0.4516,0.2117,0.2364,5.0001
I.D5,5,3,0.6004,-0.0045,0.0802,0.0016,0.36,0.1043,0.0696,0.0442,16.8601,-0.0109,0.9986,91.6147,0.8148,0.2743,0.4798,16.8601
I.E12,6,3,0.1494,-0.0024,0.0486,0.001,0.2389,0.0655,0.3494,-0.0208,16.7824,0,3e-4,16.7981,3e-4,0.2247,0.1731,16.7824
I.F3,7,4,0.2499,-0.0026,0.0393,8e-4,0.2087,0.1021,0.1467,0.0043,25.8587,-0.0045,0.3743,83.1778,0.2579,0.204,0.1417,25.8587
I.F12,3,3,0.4721,-0.0051,0.048,0.001,0.1668,0.4383,0.2681,0.048,5.0001,-0.0063,0.5396,85.6508,0.5081,0.1561,0.508,5.0001
I.G2,6,5,0.2187,-4e-4,0.0538,0.0011,0.2599,-0.0122,-0.0824,0.0149,35.5068,-0.0083,0.7414,89.3253,0.4467,0.1864,0.4792,35.5068
